,Names,MC_USD_Billion,MC_GBP_Billion,MC_EUR_Billion,MC_INR_Billion
1,JPMorgan Chase,432.92,329.02,393.96,36347.96
2,Bank of America,231.52,175.96,210.68,19438.42
3,Industrial and Commercial Bank of China,194.56,147.87,177.05,16335.26
4,Agricultural Bank of China,160.68,122.12,146.22,13490.69
5,HDFC Bank,157.91,120.01,143.7,13258.12
6,Wells Fargo,155.87,118.46,141.84,13086.85
7,HSBC Holdings PLC,148.9,113.16,135.5,12501.64
8,Morgan Stanley,140.83,107.03,128.16,11824.09
9,China Construction Bank,139.82,106.26,127.24,11739.29
10,Bank of China,136.81,103.98,124.5,11486.57
